Date,Open,High,Low,Close,Adj Close,Volume
2022-06-15,4060.000000,4080.000000,4030.000000,4060.000000,3896.035889,94848800
2022-06-16,4120.000000,4120.000000,4030.000000,4040.000000,3876.843506,96042200
2022-06-17,4010.000000,4120.000000,3980.000000,4120.000000,3953.612793,169375800
2022-06-20,4050.000000,4060.000000,4000.000000,4040.000000,3876.843506,82101200
2022-06-21,4060.000000,4120.000000,4030.000000,4110.000000,3944.016602,77489000
2022-06-22,4090.000000,4090.000000,4040.000000,4050.000000,3886.439697,60907800
2022-06-23,4030.000000,4160.000000,4030.000000,4160.000000,3991.997314,101065400
2022-06-24,4230.000000,4230.000000,4100.000000,4150.000000,3982.401123,81050700
2022-06-27,4110.000000,4120.000000,4040.000000,4070.000000,3905.632080,71574300
2022-06-28,4010.000000,4050.000000,4000.000000,4030.000000,3867.247559,128618800
2022-06-29,4000.000000,4080.000000,4000.000000,4040.000000,3876.843506,72888100
2022-06-30,4110.000000,4110.000000,4000.000000,4000.000000,3838.458984,116718900
2022-07-01,4010.000000,4040.000000,4000.000000,4020.000000,3857.651367,39572500
2022-07-04,4020.000000,4040.000000,3840.000000,3990.000000,3828.862793,115885200
2022-07-05,4010.000000,4070.000000,3950.000000,3990.000000,3828.862793,72329600
2022-07-06,4050.000000,4050.000000,3970.000000,4020.000000,3857.651367,62679000
2022-07-07,4040.000000,4050.000000,4010.000000,4040.000000,3876.843506,42393800
2022-07-08,4050.000000,4060.000000,4000.000000,4010.000000,3848.055176,64049000
2022-07-11,4100.000000,4100.000000,4000.000000,4040.000000,3876.843506,42258000
2022-07-12,4060.000000,4060.000000,4010.000000,4010.000000,3848.055176,43399800
2022-07-13,4010.000000,4030.000000,3930.000000,3940.000000,3780.882080,96218200
2022-07-14,3940.000000,4020.000000,3900.000000,4020.000000,3857.651367,68708500
2022-07-15,4040.000000,4210.000000,4010.000000,4150.000000,3982.401123,146093800
2022-07-18,4110.000000,4190.000000,4070.000000,4190.000000,4020.785889,84009400
2022-07-19,4190.000000,4190.000000,4130.000000,4160.000000,3991.997314,91367900
2022-07-20,4140.000000,4220.000000,4140.000000,4210.000000,4039.978027,82344000
2022-07-21,4210.000000,4260.000000,4180.000000,4260.000000,4087.958740,107234600
2022-07-22,4240.000000,4240.000000,4190.000000,4230.000000,4059.170410,59792300
2022-07-25,4240.000000,4260.000000,4220.000000,4240.000000,4068.766602,37218000
2022-07-26,4240.000000,4250.000000,4190.000000,4250.000000,4078.362793,49786900
2022-07-27,4230.000000,4300.000000,4210.000000,4300.000000,4126.343262,60672300
2022-07-28,4310.000000,4320.000000,4190.000000,4240.000000,4068.766602,110767300
2022-07-29,4280.000000,4300.000000,4210.000000,4230.000000,4059.170410,108823600
2022-08-01,4230.000000,4300.000000,4230.000000,4300.000000,4126.343262,104724300
2022-08-02,4350.000000,4450.000000,4250.000000,4450.000000,4270.285645,112228800
2022-08-03,4450.000000,4590.000000,4410.000000,4500.000000,4318.266602,251825000
2022-08-04,4450.000000,4550.000000,4450.000000,4550.000000,4366.247070,186881500
2022-08-05,4590.000000,4650.000000,4530.000000,4650.000000,4462.208496,268967200
2022-08-08,4700.000000,4700.000000,4650.000000,4700.000000,4510.189453,191023500
